Date,avg_temp_max,avg_temp_min,avg_humidity_max,avg_humidity_min,crop_diseases
15-03-17,24.2,10.6,83,32,Late Blight
16-03-17,23,10.8,93,44,Late Blight
17-03-17,25.9,10.9,90,33,Late Blight
18-03-17,27.6,13.2,79,27,Healthy
19-03-17,28.7,12.6,81,21,Healthy
20-03-17,30.5,13.1,77,20,Healthy
21-03-17,31.8,15.8,78,26,Healthy
22-03-17,31.6,17.5,74,29,Healthy
23-03-17,32,16.2,79,27,Healthy
24-03-17,31.9,16.4,72,22,Healthy
25-03-17,32.4,16.9,63,21,Healthy
26-03-17,33.9,17.3,61,21,Healthy
27-03-17,36.2,19.9,69,24,Healthy
28-03-17,35.3,20,72,25,Healthy
29-03-17,35.7,20.8,57,19,Healthy
30-03-17,35.8,21.2,57,22,Healthy
31-03-17,35.8,20.4,65,26,Healthy
01-04-17,35.5,19.6,58,21,Healthy
02-04-17,35,19.3,67,18,Healthy
03-04-17,35.5,20.7,61,15,Healthy
04-04-17,35.4,21.2,54,22,Healthy
05-04-17,34.8,19.9,79,25,Healthy
06-04-17,29.4,16.3,87,28,Healthy
07-04-17,29.7,16,92,16,Early Blight
08-04-17,29.2,14.6,78,21,Healthy
09-04-17,30.1,15.1,51,15,Healthy
10-04-17,32.4,14.4,58,15,Healthy
11-04-17,35.8,17.6,54,15,Healthy
12-04-17,38,19.2,48,13,Healthy
13-04-17,39.1,19.8,55,11,Healthy
14-04-17,39,20.5,60,14,Healthy
15-04-17,40.8,21,53,12,Healthy
16-04-17,41.7,22.2,52,9,Healthy
17-04-17,41.8,23.1,50,11,Healthy
18-04-17,43,24,47,11,Healthy
19-04-17,43.1,26.1,33,8,Healthy
20-04-17,43,26.1,33,10,Healthy
21-04-17,42.3,26.6,41,12,Healthy
22-04-17,39.6,24.2,61,20,Healthy
23-04-17,33.9,21.2,62,32,Healthy
24-04-17,33.8,18.2,82,21,Healthy
25-04-17,35,20,50,15,Healthy
26-04-17,35.2,19.4,58,15,Healthy
27-04-17,37.3,22.2,44,14,Healthy
28-04-17,37.4,21.2,49,15,Healthy
29-04-17,38.2,22.6,43,11,Healthy
30-04-17,36.1,18.8,61,11,Healthy
01-05-17,36.5,19.5,62,12,Healthy
02-05-17,38.4,22.1,33,12,Healthy
03-05-17,35.5,21.8,51,17,Healthy
04-05-17,36.5,22.1,54,17,Healthy
05-05-17,38.3,22.6,47,15,Healthy
06-05-17,39.5,24,46,16,Healthy
07-05-17,40.6,25.2,40,14,Healthy
08-05-17,41.5,24.3,46,13,Healthy
09-05-17,42.1,25,53,11,Healthy
10-05-17,39.5,25.7,60,22,Healthy
11-05-17,37.7,24.7,65,21,Healthy
12-05-17,38.5,24.4,60,21,Healthy
13-05-17,39.2,25,54,16,Healthy
14-05-17,40.4,24.5,50,15,Healthy
15-05-17,40.3,25.4,53,15,Healthy
16-05-17,37.5,23.5,69,24,Healthy
17-05-17,35.4,23.3,72,31,Healthy
18-05-17,36.4,23.9,69,28,Healthy
19-05-17,38.9,24.5,60,15,Healthy
20-05-17,39.5,25.5,54,17,Healthy
21-05-17,37.3,24,64,23,Healthy
22-05-17,35.2,22.6,72,29,Healthy
23-05-17,37.1,23.5,74,24,Healthy
24-05-17,39.4,24.5,63,17,Healthy
25-05-17,41.3,26,55,17,Healthy
26-05-17,43.8,25.6,40,13,Healthy
27-05-17,43.7,28.6,43,10,Healthy
28-05-17,42,28,57,19,Healthy
29-05-17,39.3,27.2,62,24,Healthy
30-05-17,38.6,26.8,63,25,Healthy
31-05-17,38.7,25.7,70,19,Healthy
01-06-17,37.9,24.7,74,23,Healthy
02-06-17,40.1,24.8,56,22,Healthy
03-06-17,43.7,26.8,48,17,Healthy
04-06-17,45.1,30.6,43,14,Healthy
05-06-17,44.2,32.6,39,20,Healthy
06-06-17,41.6,25.5,81,21,Healthy
07-06-17,33.7,23.9,92,51,Early Blight
08-06-17,37.2,25.9,83,27,Healthy
09-06-17,35.6,25.8,77,40,Healthy
10-06-17,37.4,26.1,68,33,Healthy
11-06-17,36.1,23,73,33,Healthy
12-06-17,37.8,24.7,76,29,Healthy
13-06-17,39.7,27.2,59,27,Healthy
14-06-17,40.8,27.2,65,17,Healthy
15-06-17,39,26.8,64,22,Healthy
16-06-17,39.7,27.7,58,26,Healthy
17-06-17,38.4,28.9,69,35,Healthy
18-06-17,37,27.6,78,42,Healthy
19-06-17,38,26,88,39,Healthy
20-06-17,35.2,24.8,94,50,Healthy
21-06-17,30.4,23.2,83,62,Healthy
22-06-17,32.4,23.1,93,48,Early Blight
23-06-17,35.1,24.8,95,43,Healthy
24-06-17,36.5,26.8,80,42,Healthy
25-06-17,37.8,27.6,76,40,Healthy
26-06-17,39.2,29.8,74,39,Healthy
27-06-17,37.8,26.4,93,45,Healthy
28-06-17,32.7,25.6,97,68,Early Blight
29-06-17,28.2,25.2,96,78,Early Blight
30-06-17,31.4,25.1,95,64,Early Blight
01-07-17,34.1,26,96,55,Early Blight
02-07-17,35.4,27,94,54,Healthy
03-07-17,36,27.6,89,53,Healthy
04-07-17,37.2,27.2,89,50,Healthy
05-07-17,36.5,27.1,88,48,Healthy
06-07-17,37,26.3,91,48,Healthy
07-07-17,34.7,26.4,93,55,Early Blight
08-07-17,36.3,27,91,48,Healthy
09-07-17,37.7,28.8,82,39,Healthy
10-07-17,38.4,29.2,75,39,Healthy
11-07-17,36.9,27.6,84,47,Healthy
12-07-17,34.6,26.1,95,56,Early Blight
13-07-17,31.2,25.5,95,68,Early Blight
14-07-17,34.3,26.6,90,56,Healthy
15-07-17,34.6,27.4,90,56,Healthy
16-07-17,34.5,28,88,59,Healthy
17-07-17,35.4,27,92,57,Healthy
18-07-17,32.8,26.7,94,66,Early Blight
19-07-17,34.5,27.2,94,59,Early Blight
20-07-17,34.1,27.1,89,64,Healthy
21-07-17,33.3,26.5,91,61,Early Blight
22-07-17,33,27.6,88,64,Healthy
23-07-17,33.7,27.4,87,59,Healthy
24-07-17,32.1,27.3,88,68,Healthy
25-07-17,33.6,27.2,89,62,Healthy
26-07-17,33.9,27.4,87,59,Healthy
27-07-17,34.5,27.1,93,57,Early Blight
28-07-17,34,27,92,58,Early Blight
29-07-17,33.7,27.5,88,63,Healthy
30-07-17,34.3,27.4,90,61,Healthy
31-07-17,32.3,25.6,98,70,Early Blight
01-08-17,32.6,26.3,97,66,Early Blight
02-08-17,32.2,26.3,95,72,Early Blight
03-08-17,33.8,26.1,97,60,Early Blight
04-08-17,35.3,27.9,84,55,Healthy
05-08-17,36,28.6,87,54,Healthy
06-08-17,35.2,28.8,87,60,Healthy
07-08-17,34.3,28.2,89,63,Healthy
08-08-17,34.1,27.5,95,64,Early Blight
09-08-17,34.3,27.7,92,64,Early Blight
10-08-17,36.4,27.5,96,48,Healthy
11-08-17,37.3,26.6,92,47,Healthy
12-08-17,36.8,27.3,91,48,Healthy
13-08-17,35.9,26.8,92,51,Healthy
14-08-17,33.4,25.8,95,59,Early Blight
15-08-17,33.5,26.1,94,58,Early Blight
16-08-17,36.5,26.8,85,43,Healthy
17-08-17,37.6,26.7,85,38,Healthy
18-08-17,37.7,28.1,82,40,Healthy
19-08-17,36.1,27.1,87,49,Healthy
20-08-17,32.2,26.6,88,63,Healthy
21-08-17,33.3,26.5,91,61,Early Blight
22-08-17,34.3,26.7,93,57,Early Blight
23-08-17,34.6,27,91,55,Early Blight
24-08-17,35.2,26.4,89,57,Healthy
25-08-17,33.2,24.9,96,64,Early Blight
26-08-17,32.9,26,90,58,Healthy
27-08-17,35.2,26.2,88,48,Healthy
28-08-17,34.8,26,88,49,Healthy
29-08-17,28.8,25.8,88,68,Healthy
30-08-17,32.7,25,94,64,Early Blight
31-08-17,32.5,25.6,94,62,Early Blight
01-09-17,30.3,24.8,97,71,Early Blight
02-09-17,31.3,23.9,95,64,Early Blight
03-09-17,31.8,24,95,61,Early Blight
04-09-17,32.7,25.1,94,60,Early Blight
05-09-17,32,24.7,96,63,Early Blight
06-09-17,32.3,25.3,97,61,Early Blight
07-09-17,31.6,24.6,99,58,Early Blight
08-09-17,33.9,24.9,89,52,Healthy
09-09-17,34.6,25.8,89,48,Healthy
10-09-17,35.4,25.8,94,47,Healthy
11-09-17,34.6,25,93,45,Early Blight
12-09-17,33.8,25.5,88,50,Healthy
13-09-17,35,24.9,88,47,Healthy
14-09-17,33.8,24.5,90,44,Healthy
15-09-17,35.2,23.2,90,36,Healthy
16-09-17,35.9,23.1,79,34,Healthy
17-09-17,36.5,23.4,69,26,Healthy
18-09-17,37.6,23.3,68,24,Healthy
19-09-17,36.6,24,64,27,Healthy
20-09-17,35.9,22.9,66,21,Healthy
21-09-17,35.6,23,84,29,Healthy
22-09-17,34.3,23.4,91,39,Early Blight
23-09-17,34.6,23.7,97,40,Early Blight
24-09-17,34.5,23.3,92,42,Early Blight
25-09-17,34.9,24.1,89,40,Healthy
26-09-17,35.5,23.7,83,33,Healthy
27-09-17,35.7,23.2,75,30,Healthy
28-09-17,35.8,23.6,71,31,Healthy
29-09-17,36.1,23.1,74,31,Healthy
30-09-17,36.6,21.7,72,25,Healthy
01-10-17,36.6,21.3,72,24,Healthy
02-10-17,35.8,22,75,30,Healthy
03-10-17,35.9,21.9,78,29,Healthy
04-10-17,36.3,22.1,78,28,Healthy
05-10-17,35.5,22.1,83,28,Healthy
06-10-17,35,21.5,77,26,Healthy
07-10-17,35.5,22.6,64,28,Healthy
08-10-17,35.1,22.4,74,30,Healthy
09-10-17,35.1,21.7,86,28,Healthy
10-10-17,34.7,21.7,94,30,Early Blight
11-10-17,34.2,21.1,83,29,Healthy
12-10-17,34,21.4,80,27,Healthy
13-10-17,34.1,19.9,74,28,Healthy
14-10-17,34.1,20.2,77,29,Healthy
15-10-17,34.4,20.2,85,29,Healthy
16-10-17,34.1,20,71,28,Healthy
17-10-17,33.7,18.9,76,29,Healthy
18-10-17,33.5,18.7,88,28,Healthy
19-10-17,33.3,19.4,90,30,Healthy
20-10-17,32.6,19,93,33,Early Blight
21-10-17,32.9,18.4,85,29,Healthy
22-10-17,31.9,17.3,87,28,Healthy
23-10-17,31.9,17.5,80,29,Healthy
24-10-17,31.8,16.6,90,27,Healthy
25-10-17,31.5,16.6,90,31,Healthy
26-10-17,31.6,16.6,90,27,Healthy
27-10-17,30.4,15.5,93,27,Early Blight
28-10-17,30,15.5,94,32,Early Blight
29-10-17,30,16.6,86,33,Healthy
30-10-17,29.4,16.2,94,38,Early Blight
31-10-17,29.1,16.2,92,38,Early Blight
01-11-17,29.3,17.3,93,43,Early Blight
02-11-17,28.5,16.6,96,43,Early Blight
03-11-17,28,16.4,100,50,Early Blight
04-11-17,28,16,97,49,Early Blight
05-11-17,27.8,16.5,96,51,Early Blight
06-11-17,27.8,16.3,98,50,Early Blight
07-11-17,27.2,15.8,97,52,Early Blight
08-11-17,27,15.5,98,51,Early Blight
09-11-17,26.6,13.5,100,48,Early Blight
10-11-17,25.9,13.4,100,53,Early Blight
11-11-17,25.5,14.3,100,56,Early Blight
12-11-17,25,13.8,100,53,Early Blight
13-11-17,24.6,13.3,100,53,Early Blight
14-11-17,22.9,14,95,52,Late Blight
15-11-17,23.4,11.9,98,54,Late Blight
16-11-17,22,12.1,96,57,Late Blight
17-11-17,22,11.1,100,56,Early Blight
18-11-17,22.3,11.2,88,40,Late Blight
19-11-17,22.4,9.7,92,36,Late Blight
20-11-17,22.3,9.7,90,35,Late Blight
21-11-17,22.9,9.8,92,32,Late Blight
22-11-17,22.8,8.7,93,32,Early Blight
23-11-17,23.1,9.5,88,34,Late Blight
24-11-17,23.5,8.3,91,34,Early Blight
25-11-17,23.7,9.1,94,35,Late Blight
26-11-17,23.2,8.8,94,38,Early Blight
27-11-17,24.5,9.4,93,35,Late Blight
28-11-17,23.5,9.8,92,37,Late Blight
29-11-17,23.6,9.6,94,41,Late Blight
30-11-17,23.8,9,94,36,Late Blight
01-12-17,23.6,8.1,94,32,Early Blight
02-12-17,23.3,8.1,92,33,Early Blight
03-12-17,22.7,9.2,94,38,Late Blight
04-12-17,22.1,8.7,95,43,Early Blight
05-12-17,21.4,7.5,88,30,Healthy
06-12-17,21.3,5.7,80,24,Healthy
07-12-17,21.8,5.9,72,26,Healthy
08-12-17,23.4,7,79,29,Healthy
09-12-17,23.1,8.9,90,29,Healthy
10-12-17,22.9,8.4,92,31,Early Blight
11-12-17,15.9,12.1,95,75,Late Blight
12-12-17,18.6,8.2,100,52,Early Blight
13-12-17,17.8,8,98,53,Early Blight
14-12-17,18.2,7.2,98,44,Early Blight
15-12-17,17.9,5.7,96,39,Early Blight
16-12-17,18.9,5.5,89,32,Healthy
17-12-17,20.1,5.1,80,30,Healthy
18-12-17,22.5,5.7,76,30,Healthy
19-12-17,22.9,7,83,32,Healthy
20-12-17,24.4,8.9,85,36,Healthy
21-12-17,22.9,9.2,89,43,Late Blight
22-12-17,23.7,8.4,90,31,Healthy
23-12-17,22.1,7,93,29,Early Blight
24-12-17,21.7,7.9,94,44,Early Blight
25-12-17,22.2,6.7,97,34,Early Blight
26-12-17,22.4,6.8,92,34,Early Blight
27-12-17,21.3,8.4,96,43,Early Blight
28-12-17,21.4,7.2,99,44,Early Blight
29-12-17,21.4,5.6,93,36,Early Blight
30-12-17,20.9,5.4,92,31,Early Blight
31-12-17,20.4,6.1,89,35,Healthy
01-01-18,20.2,6.4,93,37,Early Blight
02-01-18,20.1,4.8,100,36,Early Blight
03-01-18,19.1,4,100,42,Early Blight
04-01-18,19.2,4.8,100,44,Early Blight
05-01-18,18.4,4.4,100,43,Early Blight
06-01-18,18.5,5.2,92,42,Early Blight
07-01-18,19,4.5,92,38,Early Blight
08-01-18,19.5,4.4,91,37,Early Blight
09-01-18,20.4,3.6,94,35,Early Blight
10-01-18,21.6,5.1,93,31,Early Blight
11-01-18,21.7,5.4,87,29,Healthy
12-01-18,21.4,6.4,95,38,Early Blight
13-01-18,21.5,7.1,94,35,Early Blight
14-01-18,21.6,7.3,90,37,Healthy
15-01-18,22.5,5.6,91,29,Early Blight
16-01-18,22,4.4,84,28,Healthy
17-01-18,22.3,9,95,37,Late Blight
18-01-18,22,7.4,97,43,Early Blight
19-01-18,21.6,5.8,91,29,Early Blight
20-01-18,22.8,5.4,85,26,Healthy
21-01-18,21.7,5.5,90,31,Healthy
22-01-18,20.7,5.9,92,33,Early Blight
23-01-18,16.1,6.6,99,70,Early Blight
24-01-18,17.7,5.8,100,54,Early Blight
25-01-18,19.3,5.5,100,44,Early Blight
26-01-18,20,7,96,42,Early Blight
27-01-18,19.5,5.7,99,46,Early Blight
28-01-18,19.7,5.2,99,45,Early Blight
29-01-18,20.2,5.8,100,49,Early Blight
30-01-18,22.4,7.9,93,46,Early Blight
31-01-18,22.6,7.4,95,38,Early Blight
01-02-18,23.1,9,79,39,Late Blight
02-02-18,22.1,8.1,83,30,Healthy
03-02-18,22,5.7,80,27,Healthy
04-02-18,22.1,6.8,75,20,Healthy
05-02-18,21.6,5.1,74,21,Healthy
06-02-18,21.4,6.1,73,24,Healthy
07-02-18,20.9,5.8,83,29,Healthy
08-02-18,21.5,6.8,75,26,Healthy
09-02-18,22.1,5.8,86,25,Healthy
10-02-18,21.9,6.8,90,29,Healthy
11-02-18,19.7,8.2,91,43,Early Blight
12-02-18,19,9.9,98,41,Late Blight
13-02-18,20.4,8.9,95,45,Early Blight
14-02-18,20.7,8.5,91,41,Early Blight
15-02-18,22.3,9.6,86,40,Late Blight
16-02-18,23.8,9.4,89,37,Late Blight
17-02-18,24.5,9.4,87,36,Late Blight
18-02-18,25,8,91,27,Early Blight
19-02-18,25.1,9,94,37,Late Blight
20-02-18,26.9,10.7,95,38,Late Blight
21-02-18,27.4,12.7,96,35,Early Blight
22-02-18,26.6,13,82,36,Late Blight
23-02-18,26.5,12.8,87,34,Late Blight
24-02-18,21,12.9,97,56,Late Blight
25-02-18,24.3,11.8,98,50,Late Blight
26-02-18,26.4,12.3,86,32,Late Blight
27-02-18,27.3,13.6,93,45,Early Blight
28-02-18,27.9,13.5,95,32,Early Blight
01-03-18,26,15.1,87,45,Healthy
02-03-18,28.6,14.3,90,26,Healthy
03-03-18,24.3,11.3,99,47,Late Blight
04-03-18,25.2,11.3,95,36,Late Blight
05-03-18,25.4,12.5,86,38,Late Blight
06-03-18,27,13.3,86,30,Late Blight
07-03-18,28.4,13.3,84,25,Healthy
08-03-18,28.7,13.6,91,29,Early Blight
09-03-18,28.6,15,70,30,Healthy
10-03-18,29.3,14.9,71,30,Healthy
11-03-18,30.1,14.7,77,26,Healthy
12-03-18,31.3,14.7,86,31,Healthy
13-03-18,32.7,16.3,91,24,Early Blight
14-03-18,31.4,16.5,84,21,Healthy
15-03-18,28.5,14.5,91,32,Early Blight
16-03-18,28.7,14.3,92,23,Early Blight
17-03-18,29.8,13.7,70,20,Healthy
18-03-18,30.3,13.4,76,17,Healthy
19-03-18,30.9,14.7,62,23,Healthy
20-03-18,29.7,15.2,86,27,Healthy
21-03-18,23,12.3,99,58,Late Blight
22-03-18,25.1,12.9,98,42,Late Blight
23-03-18,28.7,14.9,82,32,Healthy
24-03-18,30.7,16.2,80,26,Healthy
25-03-18,32.1,17.7,80,24,Healthy
26-03-18,33.5,16.5,74,24,Healthy
27-03-18,34.2,16.9,83,20,Healthy
28-03-18,34.3,17.4,87,19,Healthy
29-03-18,35,19.3,49,13,Healthy
30-03-18,35.4,17.7,45,13,Healthy
31-03-18,35.2,17.9,76,19,Healthy
01-04-18,33.4,18.8,81,27,Healthy
02-04-18,34.2,19.4,81,30,Healthy
03-04-18,33.5,21.7,78,37,Healthy
04-04-18,34.6,20.4,87,29,Healthy
05-04-18,33.6,18.9,81,33,Healthy
06-04-18,33.8,19.2,88,27,Healthy
07-04-18,32.8,19.6,79,30,Healthy
08-04-18,33.8,21.6,66,36,Healthy
09-04-18,32.1,19.7,89,40,Healthy
10-04-18,30.8,20.6,84,47,Healthy
11-04-18,28.8,19.1,90,38,Healthy
12-04-18,31.6,16,79,20,Healthy
13-04-18,32.1,16,64,19,Healthy
14-04-18,33.4,19.4,64,22,Healthy
15-04-18,35.5,19.2,70,18,Healthy
16-04-18,33.7,20.6,59,21,Healthy
17-04-18,34.3,19.4,68,20,Healthy
18-04-18,34.5,20,66,25,Healthy
19-04-18,33.4,20.9,66,21,Healthy
20-04-18,29.9,16,79,34,Healthy
21-04-18,31.3,15.4,88,19,Healthy
22-04-18,31.8,16.5,63,19,Healthy
23-04-18,35.3,18.8,51,12,Healthy
24-04-18,37.8,19.1,60,14,Healthy
25-04-18,39.3,20.9,53,11,Healthy
26-04-18,39.4,21.6,54,13,Healthy
27-04-18,39.5,22.9,56,14,Healthy
28-04-18,40,23.8,62,14,Healthy
29-04-18,40,22.8,51,12,Healthy
30-04-18,40.9,23.5,58,11,Healthy
01-05-18,40.3,22.9,63,17,Healthy
02-05-18,38.7,22.9,72,25,Healthy
03-05-18,37,22.4,77,25,Healthy
04-05-18,34.6,23,68,34,Healthy
05-05-18,37.6,23.4,59,18,Healthy
06-05-18,37.6,23.7,60,19,Healthy
07-05-18,35,21.5,74,28,Healthy
08-05-18,31.1,21.1,75,25,Healthy
09-05-18,33.1,20.8,68,26,Healthy
10-05-18,37.4,21.8,62,20,Healthy
11-05-18,39.9,25.3,55,20,Healthy
12-05-18,39.8,25.2,59,23,Healthy
13-05-18,38.8,24,56,17,Healthy
14-05-18,37.3,23.4,64,24,Healthy
15-05-18,37.1,24.2,63,24,Healthy
16-05-18,38,23.5,65,24,Healthy
17-05-18,38.2,24.5,52,23,Healthy
18-05-18,36.7,22.3,52,20,Healthy
19-05-18,37.5,22.4,49,16,Healthy
20-05-18,38.3,22.2,48,13,Healthy
21-05-18,39.2,22.6,38,11,Healthy
22-05-18,40.3,24.5,36,12,Healthy
23-05-18,40.5,23.8,27,7,Healthy
24-05-18,40.4,23.5,33,9,Healthy
25-05-18,41.3,24.3,41,9,Healthy
26-05-18,41.7,25.9,44,9,Healthy
27-05-18,41.8,25.4,29,10,Healthy
28-05-18,42.2,25.6,35,10,Healthy
29-05-18,43.1,26.6,43,9,Healthy
30-05-18,41.4,26.8,48,16,Healthy
31-05-18,42.3,26.7,51,12,Healthy
01-06-18,42.1,26.8,66,21,Healthy
02-06-18,41,27.3,66,24,Healthy
03-06-18,40.9,28.2,63,27,Healthy
04-06-18,41.8,30.5,55,25,Healthy
05-06-18,40.9,32.3,54,26,Healthy
06-06-18,38.9,28.5,67,39,Healthy
07-06-18,38.9,29,69,35,Healthy
08-06-18,40.4,29.4,64,30,Healthy
09-06-18,38.7,28,82,41,Healthy
10-06-18,36.8,26.8,89,37,Healthy
11-06-18,38.8,27.3,73,33,Healthy
12-06-18,41.7,28.2,67,22,Healthy
13-06-18,42.6,29.2,55,20,Healthy
14-06-18,40.9,30.4,55,30,Healthy
15-06-18,39,26.6,84,33,Healthy
16-06-18,37.9,25.4,90,37,Healthy
17-06-18,34.6,24.1,91,48,Early Blight
18-06-18,33.7,25.5,84,52,Healthy
19-06-18,36.6,25.4,86,37,Healthy
20-06-18,37.3,27.2,75,34,Healthy
21-06-18,38.1,27.2,71,34,Healthy
22-06-18,39,28,69,30,Healthy
23-06-18,38.7,27.3,68,33,Healthy
24-06-18,39.6,28,65,27,Healthy
25-06-18,39.4,28.3,57,28,Healthy
26-06-18,39.1,28.7,63,26,Healthy
27-06-18,32.8,25.2,89,56,Healthy
28-06-18,28.2,23.4,95,76,Early Blight
29-06-18,31,24.2,96,69,Early Blight
30-06-18,32.8,25.1,93,66,Early Blight
01-07-18,34.2,27,92,62,Early Blight
02-07-18,36.6,28.6,86,52,Healthy
03-07-18,32.8,23.9,96,63,Early Blight
04-07-18,30.2,23.8,96,71,Early Blight
05-07-18,32.8,24.1,95,59,Early Blight
06-07-18,34.7,24.9,93,53,Early Blight
07-07-18,36.3,26.9,84,47,Healthy
08-07-18,37.5,27.7,81,45,Healthy
09-07-18,38.2,28.5,77,44,Healthy
10-07-18,37.9,29.5,82,50,Healthy
11-07-18,36.5,29.2,85,57,Healthy
12-07-18,36,28.5,89,55,Healthy
13-07-18,34.4,27.1,95,61,Early Blight
14-07-18,34.2,26.6,94,60,Early Blight
15-07-18,34.5,27.6,88,58,Healthy
16-07-18,33.6,27.8,91,62,Early Blight
17-07-18,32.9,26.7,98,67,Early Blight
18-07-18,34,26.9,97,64,Early Blight
19-07-18,34.2,27.4,97,63,Early Blight
20-07-18,33.7,27.4,96,66,Early Blight
21-07-18,34.5,26.3,97,61,Early Blight
22-07-18,31.9,26.5,96,72,Early Blight
23-07-18,32.5,26.2,97,64,Early Blight
24-07-18,32.3,26.6,98,70,Early Blight
25-07-18,34.6,25.9,98,64,Early Blight
26-07-18,32.7,26.3,97,68,Early Blight
27-07-18,31.9,25.5,97,71,Early Blight
28-07-18,31.1,26.1,95,71,Early Blight
29-07-18,33.7,26.6,95,63,Early Blight
30-07-18,34.4,26.9,93,60,Early Blight
31-07-18,35.5,28.2,90,54,Healthy
01-08-18,36.1,27.5,91,49,Healthy
02-08-18,35.8,27.1,94,47,Healthy
03-08-18,36.3,27.4,92,47,Healthy
04-08-18,36.5,27.8,85,47,Healthy
05-08-18,36.7,28,81,46,Healthy
06-08-18,34.4,26.5,88,54,Healthy
07-08-18,31.3,25,94,65,Early Blight
08-08-18,32.1,25,96,62,Early Blight
09-08-18,32.2,26.4,98,69,Early Blight
10-08-18,33.9,26.5,99,60,Early Blight
11-08-18,34.9,28,91,58,Early Blight
12-08-18,34.9,25.5,97,58,Early Blight
13-08-18,33,25.7,95,69,Early Blight
14-08-18,33.6,25.9,96,62,Early Blight
15-08-18,33.8,26.8,94,59,Early Blight
16-08-18,32.8,26.8,95,64,Early Blight
17-08-18,33.4,27.1,97,69,Early Blight
18-08-18,32.2,26.8,98,75,Early Blight
19-08-18,33.8,26.7,97,64,Early Blight
20-08-18,34.6,26.8,96,60,Early Blight
21-08-18,33.2,26.9,95,70,Early Blight
22-08-18,34,27,95,61,Early Blight
23-08-18,35.5,27.2,95,55,Healthy
24-08-18,35.5,28,83,53,Healthy
25-08-18,35.5,27.7,85,52,Healthy
26-08-18,34.6,27.3,85,53,Healthy
27-08-18,34.8,26.7,90,53,Healthy
